company,sector,subsector,round,amount_m,valuation_m,lead_investors,other_investors,date,location,quarter,year,robotnik_notes,source
Galaxea AI,Robotics,Humanoid & Service Robots,Series A,100,700,"Capital Today, Meituan Strategic","Ant Group, IDG Capital, Baidu Ventures, GL Ventures, FunPlus, miHoYo",2025-07-09,China (Beijing),3Q25,2025,Founded 2023 by Tsinghua + Stanford professors; R1 Pro/Lite humanoids; cumulative ~$210M raised. Note: Galaxea also has a Feb-26 Series B entry.,https://finance.yahoo.com/news/beijings-galaxea-ai-raises-100-000126844.html
Geekplus,Robotics,Warehouse & Logistics Automation,IPO,281,2800,,"Xiong'an Robot, Arc Avenue, Prudential/Eastspring, Yige/Zongteng",2025-07-09,China (Beijing),3Q25,2025,First AMR warehouse robotics IPO on HKEX; 800+ global enterprise clients; 133x oversubscribed HK tranche. Listed on HKEX (2432.HK).,https://www.prnewswire.com/news-releases/geekplus-lists-on-hkex-main-board-302500963.html
Kongsberg Ferrotech,Robotics,Machine Vision & Sensors,Seed,13,,NATO Innovation Fund,Investinor,2025-07-09,Norway (Kongsberg),3Q25,2025,Nautilus subsea inspection/repair robot; dry-habitat diver-free repairs; backed by Equinor/Kongsberg Gruppen,https://www.nif.fund/news/nato-innovation-fund-leads-eur12-million-seed-financing-round-in-kongsberg-ferrotech/
Augmentus,Robotics,Industrial Robots,Series A,11,,Woori Venture Partners,"EDBI, Sierra Ventures, Cocoon Capital",2025-07-09,Singapore,3Q25,2025,No-code robotic welding + surface finishing; 50+ systems in 6 countries; cuts programming 90%,https://www.businesswire.com/news/home/20250709
Varda Space Industries,Space,In-Orbit Services,Series C,187,,"Natural Capital, Shrug Capital","Founders Fund, Peter Thiel, Khosla Ventures, Caffeinated Capital, Lux Capital",2025-07-10,"USA (El Segundo, CA)",3Q25,2025,Microgravity drug crystallization + hypersonic reentry testbed; 3 missions completed; $329M total raised,https://www.satellitetoday.com/finance/2025/07/11/varda-raises-187m-series-c-round/
QuiX Quantum,Semiconductors,Fabless Design,Series A,17,,"Invest-NL, EIC Fund","PhotonVentures, Oost NL, FORWARD.one",2025-07-10,Netherlands (Enschede),3Q25,2025,Silicon-nitride photonic quantum chips; first universal photonic quantum computer planned 2026,https://www.quixquantum.com/news/quix-quantum-series-a
Bonsai Robotics,Robotics,Autonomous Systems & Drones,Series A,50,,Multiple,,2025-07-10,USA,3Q25,2025,Autonomous agricultural spraying and harvesting robots for tree fruit orchards.,https://techcrunch.com
MOTOR Ai,Robotics,Autonomous Systems & Drones,Seed,20,,"Segenia Capital, eCAPITAL",German HNWIs,2025-07-14,Germany (Berlin),3Q25,2025,Cognitive/neuroscience-based L4 autonomous driving; active inference architecture; EU-certified,https://www.globenewswire.com/news-release/2025/07/14/3114777/0/en/MOTOR-Ai-gets-20M.html
XTEND,Robotics,Autonomous Systems & Drones,Series B (extension),30,,"Aliya Capital Partners, Protego Ventures","Claltech (Blavatnik), Union-Tech Ventures, Chartered Group",2025-07-15,Israel (Tel Aviv),3Q25,2025,"AI tactical drone platform; deployed by US DoD, IDF, Singapore; $100M total raised",https://www.prnewswire.com/news-releases/xtend-secures-30m-extension-302505634.html
Mujin,Robotics,Warehouse & Logistics,Series D,233,,Multiple,,2025-07-15,Japan (Tokyo),3Q25,2025,Warehouse automation with AI-powered robot controllers. Expanding from Japan to global markets.,https://techcrunch.com
Bedrock Robotics,Robotics,Industrial Robots,Seed,80,,"8VC (Series A), Eclipse (Seed)","Two Sigma Ventures, Valor Equity Partners, NVentures (NVIDIA), Crossbeam, Raine Group, Tishman Speyer",2025-07-16,"USA (San Francisco, CA)",3Q25,2025,Ex-Waymo team; retrofit kit for autonomous heavy construction equipment. Note: Bedrock also has a Feb-26 Series B entry.,https://techcrunch.com/2025/07/16/ex-waymo-engineers-launch-bedrock-robotics-with-80m-to-automate-construction/
Firestorm Labs,Robotics,Autonomous Systems & Drones,Series A,47,,NEA,"Lockheed Martin Ventures, Decisive Point, Washington Harbour Partners, Booz Allen Ventures",2025-07-16,"USA (San Diego, CA)",3Q25,2025,3D-printed modular drones for DoD; containerized xCell micro-factory; $100M USAF IDIQ contract,https://www.prnewswire.com/news-releases/firestorm-labs-announces-47-million-series-a-302506303.html
Hadrian,Robotics,Industrial Robots,Series C,260,,"Founders Fund, Lux Capital","Altimeter, 1789 Capital, a16z, Construct Capital, 137 Ventures",2025-07-17,"USA (Torrance, CA)",3Q25,2025,AI-powered CNC + automated factories for defense/space; 10x YoY growth; opening Mesa AZ Factory 3; ~$500M total raised,https://techcrunch.com/2025/07/17/hadrian-raises-260m-to-build-out-automated-factories-for-space-and-defense-parts/
Q.ANT,Semiconductors,Fabless Design,Series A,69,,"Cherry Ventures, UVC Partners, imec.xpand","L-Bank, Verve Ventures, Grazia Equity, LEA Partners, TRUMPF",2025-07-17,Germany (Stuttgart),3Q25,2025,Largest European photonic computing Series A; LENA thin-film lithium niobate; 30x energy efficiency; TRUMPF spinoff,https://tech.eu/2025/07/17/qant-raises-eur62m/
EndoQuest Robotics,Robotics,Surgical & Medical,Series A,36,,Multiple,,2025-07-20,USA (Houston),3Q25,2025,"Flexible endoluminal surgical robot for natural orifice surgery, reducing invasiveness further than da Vinci.",https://endoquestrobotics.com
Asylon Robotics,Robotics,Autonomous Systems & Drones,Series B,24,,Insight Partners,"Veteran Ventures Capital, Allegion Ventures, GO PA Fund",2025-07-22,"USA (Philadelphia, PA)",3Q25,2025,"Drone + ground robot (DroneDog) security platform; 250,000+ missions; US-made",https://www.businesswire.com/news/home/20250722577774/en/Asylon-Robotics-Raises-$24-Million
xLight,Semiconductors,Equipment,Series B,40,,Playground Global,"Boardman Bay Capital Management, Morpheus Ventures",2025-07-22,"USA (Palo Alto, CA)",3Q25,2025,"Developing free electron laser EUV light source for semiconductor manufacturing. Claims 4x more EUV power than current systems, able to serve 20 ASML tools from one source. Also secured $150M CHIPS Act LOI.",https://www.xlight.com/company-news/xlight-40m-series-b
MP Materials,Materials,Rare Earths & Critical Minerals,Government investment,550,,US Department of Defense,,2025-07-25,"USA (Las Vegas, NV)",3Q25,2025,$400M preferred stock + $150M loan; 10-year NdPr price floor; only US rare-earth mine; 10X magnet facility,https://investornews.com/market-opinion/follow-the-money-u-s-government-funding-for-critical-minerals/
4AG Robotics,Robotics,Collaborative Robots,Series B,29,,"Astanor, Cibus Capital","Voyager Capital, InBC, Emmertech, BDC, Stray Dog Capital, Seraph Group",2025-07-29,"Canada (Salmon Arm, BC)",3Q25,2025,"Autonomous mushroom harvesting; AI vision + suction grippers; deployed Canada, Ireland, Australia",https://www.prnewswire.com/news-releases/4ag-robotics-raises-40-million-series-b-849068103.html
Delian Alliance Industries,Robotics,Autonomous Systems & Drones,Series A,14,,"Air Street Capital, Marathon Venture Capital","201 Ventures, HCVC, Entropy Industrial Capital, Nebular",2025-07-29,Greece (Athens),3Q25,2025,"Autonomous coastal defense; LAST Towers, OSIRIS GPS-denied nav; ex-Apple roboticist founder",https://tech.eu/2025/07/29/greek-defence-tech-startup-founded-by-apple-roboticist-raised-14m/
Oxide Computer,Semiconductors,Fabless Design,Series B,100,,US Innovative Technology Fund (USIT),All existing investors,2025-07-30,"USA (Emeryville, CA)",3Q25,2025,"Rack-scale on-prem cloud computer (Intel + AMD); customers include Lawrence Livermore, CoreWeave",https://oxide.computer/blog/our-100m-series-b
Raise Robotics,Robotics,Industrial Robots,Seed,7.75,,MaC Venture Capital,Undivided Ventures,2025-07-30,"USA (San Francisco, CA)",3Q25,2025,Multi-purpose robotic platform for high-risk construction site tasks,https://www.enr.com/articles/61108-raise-robotics-nets-775m-in-seed-funding
SixSense,Semiconductors,Equipment,Series A,8.5,,Peak XV / Surge,"Alpha Intelligence Capital, FEBE",2025-07-31,Singapore,3Q25,2025,AI defect detection for semiconductor fabs; customers GlobalFoundries + JCET; 100M+ chips processed,https://techcrunch.com/2025/07/31/female-founded-semiconductor-ai-startup-sixsense-raises-funding/
SiMa.ai,Semiconductors,Fabless Design,Series C,85,,Maverick Capital,"StepStone Group, Fidelity Investments",2025-08-01,"USA (San Jose, CA)",3Q25,2025,"Modalix multimodal MLSoC for robotics, automotive, defense; total funding $355M; oversubscribed",https://www.prnewswire.com/news-releases/simaai-raises-85m-302519152.html
Firefly Aerospace,Space,Launch,IPO,868,6300,"Goldman Sachs, JP Morgan, Jefferies, Wells Fargo","Northrop Grumman ($50M strategic), Morgan Stanley",2025-08-07,"USA (Cedar Park, TX)",3Q25,2025,Priced $45 above range; +34% first day; first private Moon landing (Blue Ghost); $1.3B backlog. Listed on NASDAQ (FLY).,https://www.cnbc.com/2025/08/07/rocket-maker-firefly-aerospace-fly-stock-ipo.html
Generative Bionics,Robotics,Humanoid & Service Robots,Seed,35,,Gradient Ventures (Google),,2025-08-15,USA,3Q25,2025,AI-powered prosthetics company building adaptive robotic limbs that learn from user movement patterns.,https://techcrunch.com
SpinLaunch,Space,Satellite Communications,Series C,30,,"Kongsberg Defence & Aerospace, ATW Partners",Existing investors,2025-08-18,"USA (Long Beach, CA)",3Q25,2025,Funding for Meridian Space LEO broadband constellation; 280 satellites via Kongsberg NanoAvionics; total ~$203M,https://spacenews.com/spinlaunch-raises-30-million-for-work-on-meridian-space-constellation/
FieldAI,Robotics,Software & Simulation,Series B,405,2000,"Bezos Expeditions, Prysm, Temasek","BHP Ventures, Canaan, Emerson Collective, Intel Capital, Khosla, NVentures, Gates Frontier, Samsung",2025-08-20,"USA (Irvine, CA)",3Q25,2025,"Universal robot brains for industrial autonomy; valuation quadrupled; unicorn; deployed Japan, Europe, US",https://techcrunch.com/2025/08/20/fieldai-raises-405m-to-build-universal-robot-brains/
Fourier Intelligence,Robotics,Humanoid & Service Robots,Series E+,120,,Chinese VCs,,2025-08-20,China (Shanghai),3Q25,2025,GR-2 humanoid robot developer; additional funding round after Jan 2025 Series E.,https://techcrunch.com
Paragraf,Semiconductors,Fabless Design,Series C,55,,Mubadala,Existing investors,2025-08-25,UK (Cambridgeshire),3Q25,2025,"Cambridge spin-out; first mass-produced graphene electronics; total ~$140M; Hall sensors, FETs for quantum/healthcare",https://tech.eu/2025/08/25/paragraf-closes-55m-series-c-funding-round/
Commonwealth Fusion Systems,Materials,Structural Materials,Series B,863,,NVentures (NVIDIA),Broad consortium of existing investors,2025-08-25,"USA (Devens, MA)",3Q25,2025,HTS magnet technology for compact fusion; relevant to next-gen power for semiconductor fabs; largest Aug 2025 round,https://news.crunchbase.com/venture/biggest-funding-rounds-commonwealth-fusion-wugen/
Blue Water Autonomy,Robotics,Autonomous Systems & Drones,Series A,50,,GV (Google Ventures),"Eclipse, Riot, Impatient Ventures",2025-08-26,"USA (Boston, MA)",3Q25,2025,Full-sized autonomous unmanned ships for US Navy; total raised $64M; Pentagon's $2.1B MUSV program,https://fortune.com/2025/08/26/exclusive-blue-water-autonomy-raises-gv-led-50-million-series-a-to-build-unmanned-ships/
Aerospacelab,Space,Satellite Communications,Series B (extension),110,,European Investment Bank,New and existing investors,2025-08-26,Belgium (Charleroi),3Q25,2025,Megafactory for 500 sats/year; competing for IRIS2 contract; total raised EUR 134M,https://spacenews.com/aerospacelab-eyes-leading-iris-manufacturing-role-after-raising-110-million/
OpenLight,Semiconductors,Fabless Design,Series A,34,,"Xora Innovation, Capricorn Investment Group","Mayfield, Juniper Networks (HPE), Lam Capital, New Legacy Ventures, K2 Access",2025-08-26,USA,3Q25,2025,"Silicon photonics PDK provider with integrated indium phosphide on-chip laser technology. Spun out of Synopsys, ramping 1.6Tb/s and 3.2Tb/s reference PICs for AI data center optical interconnects.",https://openlightphotonics.com/newsroom/openlight-raises-34m-series-a-to-scale-next-gen-integrated-photonics-for-ai-data-centers
Surgerii Robotics,Robotics,Surgical & Medical,Seed,15,,Multiple,,2025-09-05,UK,3Q25,2025,Next-gen surgical robot platform for open and minimally invasive procedures.,https://surgerii.com
Nanopower Semiconductor,Semiconductors,Power & Analog,Series A,10.2,,"EIC Fund, Big Sur Ventures, Skagerak Capital","Blystad Group, Borgen",2025-09-07,Norway (Kristiansand),3Q25,2025,Subthreshold power management IC (nPZero); battery/energy-harvesting devices,https://nanopowersemi.com/news/nanopower-semiconductor-as-closes-eur-9.4-million-equity-financing
X Square Robot,Token,Humanoid & Service Robots,Series A,140,,Alibaba Cloud,"HongShan (Sequoia China), Meituan, Legend Star, Legend Capital, INCE Capital",2025-09-08,China (Shenzhen),3Q25,2025,8th round in <2 years; AI foundation models for general-purpose robots. Note: also has Jan-26 and Feb-26 entries.,https://www.cnbc.com/2025/09/08/alibaba-leads-100-million-investment-in-chinese-humanoid-robot-startup.html
proteanTecs,Semiconductors,EDA & IP,Series D,51,,IAG Capital Partners,"Samsung Catalyst Fund, Arm, Siemens, Addition, Zeev Ventures, MediaTek, Intel Capital, Porsche, Koch Disruptive",2025-09-09,Israel (Haifa),3Q25,2025,Embedded agent telemetry for predictive chip lifecycle monitoring; total raised >$250M,https://siliconangle.com/2025/09/10/computer-chip-performance-optimization-startup-proteantecs-raises-51m/
Scintil Photonics,Semiconductors,Fabless Design,Series B,58,,"Yotta Capital Partners, NGP Capital","NVIDIA, BNP Paribas Developpement, Supernova Invest, Bpifrance, Innovacom, Bosch Ventures, Applied Ventures ITIC",2025-09-09,France (Grenoble),3Q25,2025,Silicon photonic IC maker with integrated lasers for co-packaged optics in AI data centers. Flagship LEAF Light DWDM-native light engine enables ultra-high-speed optical interconnects.,https://www.scintil-photonics.com/post/scintil-photonics-raises-58m-to-scale-integrated-photonics-for-ai-factories
PsiQuantum,Semiconductors,Fabless Design,Series E,1000,7000,"BlackRock, Temasek, Baillie Gifford","Macquarie Capital, NVentures (NVIDIA), QIA, Ribbit Capital, Adage Capital, Morgan Stanley, T. Rowe Price",2025-09-10,"USA (Palo Alto, CA)",3Q25,2025,First NVIDIA investment in physical quantum hardware; breaking ground in Brisbane + Chicago; million-qubit target,https://thequantuminsider.com/2025/09/10/psiquantum-raises-1-billion/
CuspAI,Materials,Silicon & Substrates,Series A,100,520,"NEA, Temasek","Samsung Ventures, Hyundai Motor, NVentures (NVIDIA), Basis Set Ventures, Prosus, Northzone, LocalGlobe",2025-09-10,UK (Cambridge),3Q25,2025,"AI search engine for molecules; semiconductor, automotive, energy materials discovery; ASML former President on board",https://siliconangle.com/2025/09/10/cuspai-raises-100m-build-ai-search-engine-transform-materials-science/
D-Robotics,Robotics,Machine Vision & Sensors,Series B,270,,Multiple,,2025-09-10,China (Beijing),3Q25,2025,Robot AI chips for autonomous driving and robotics perception. Bridges semiconductors and robotics.,https://techcrunch.com
Hive Robotics,Robotics,Autonomous Systems & Drones,Pre-Seed,2.2,,b2venture,"Firedrop, Pareto, Matthias Hilpert, Klocke Group",2025-09-11,Germany (Munich),3Q25,2025,"C3 architecture for cross-domain robot swarms (air, land, sea, space); defense + disaster response",https://tech.eu/2025/09/11/hive-robotics-secures-eur2m/
Apex,Space,Satellite Communications,Series D,200,1000,Interlagos,"Andreessen Horowitz, Point72 Ventures, 8VC",2025-09-12,"USA (Los Angeles, CA)",3Q25,2025,Satellite bus manufacturer; unicorn in 3 years; expanding production capacity 50%,https://spacenews.com/apex-reaches-billion-dollar-valuation-with-series-d-funding-round/
Kargo,Robotics,Warehouse & Logistics,Series A,100,,a16z,,2025-09-15,USA,3Q25,2025,Autonomous truck loading/unloading robots for warehouse-to-truck interface.,https://techcrunch.com
General Fusion,Materials,Structural Materials,Bridge,73,,Segra Capital,,2025-09-15,"Canada (Burnaby, BC)",3Q25,2025,Magnetized target fusion; emergency capital after restructuring; total ~$600M CAD.,https://techcrunch.com
Figure AI,Robotics,Humanoid & Service Robots,Series C,1000,39000,Parkway Venture Capital,"Brookfield, NVIDIA, Macquarie, Intel Capital, LG Tech Ventures, Salesforce, T-Mobile, Qualcomm",2025-09-16,"USA (San Jose, CA)",3Q25,2025,General-purpose humanoid; 15x valuation increase in 18 months; scaling BotQ manufacturing,https://www.figure.ai/news/series-c
Groq,Semiconductors,Fabless Design,Series E,750,6900,Disruptive,"BlackRock, Neuberger Berman, DTCP, Samsung, Cisco, D1, Altimeter, 1789 Capital, Infinitum",2025-09-17,"USA (San Jose, CA)",3Q25,2025,LPU inference engine; 2M+ developers on platform; exceeded $600M target; oversubscribed,https://techcrunch.com/2025/09/17/nvidia-ai-chip-challenger-groq-raises-even-more-than-expected/
GeeSpace,Space,Satellite Communications,Undisclosed,281,,"Zhejiang Financial Holdings, Hangzhou SOE Capital",Zhejiang NEV Industry Fund,2025-09-19,China (Hangzhou),3Q25,2025,"State-backed; IoT/connectivity constellation (6,012 sat target); Phase 1 of 72 sats complete",https://spacenews.com/geespace-secures-281-million-for-iot-constellation-and-global-hq/
Anvil Robotics,Robotics,Industrial Robots,Seed,5,,Multiple,,2025-09-20,USA,3Q25,2025,Heavy industrial automation robots for construction and demolition applications.,https://techcrunch.com
Morse Micro,Semiconductors,Fabless Design,Series C,59,350,MegaChips,"National Reconstruction Fund Corp (AU), Blackbird, Main Sequence, Uniseed",2025-09-22,Australia (Sydney),3Q25,2025,Fabless Wi-Fi HaLow IoT silicon; total funding >$193M; expanding internationally,https://www.morsemicro.com/2025/09/23/morse-micro-secures-88-million-aud-series-c-funding/
Empower Semiconductor,Semiconductors,Power & Analog,Series D,140,,Fidelity,"Maverick Silicon, CapitalG, Atreides Management, Socratic Partners, Walden Catalyst Ventures, Knollwood, ADIA",2025-09-22,USA (Silicon Valley),3Q25,2025,Power delivery specialist for AI processors using FinFast integrated voltage regulator technology. Reduces energy footprint and total cost of ownership for data centers.,https://siliconangle.com/2025/09/22/empower-semiconductor-raises-140m-power-management-chips/
Galactic Energy,Space,Launch,Series D,336,,,,2025-09-28,China (Beijing),3Q25,2025,Solid (Ceres-1) + liquid (Pallas-1/2) rockets; largest China private space round; IPO guidance filed Oct 2025,https://aviationweek.com/space/commercial-space/chinese-launch-startup-galactic-energy-raises-336-million
Cerebras Systems,Semiconductors,Fabless Design,Series G,1100,8100,"Fidelity Management, Atreides Management","Tiger Global, Valor Equity Partners, 1789 Capital, Altimeter, Alpha Wave, Benchmark",2025-09-30,"USA (Sunnyvale, CA)",3Q25,2025,Oversubscribed; IPO delayed from CFIUS review; revenue grew $6M to $70M in one year. Note: also has Feb-26 Series H entry.,https://techcrunch.com/2025/09/30/a-year-after-filing-to-ipo-still-private-cerebras-systems-raises-1-1b/
Quilter,Semiconductors,EDA & IP,Series B,25,,Index Ventures,"Benchmark, Coatue, Root Ventures, Lip-Bu Tan",2025-10-07,USA,4Q25,2025,"Physics-driven AI for fully autonomous PCB design. Uses reinforcement learning to automate placement, routing, and verification in minutes vs weeks. Adopted by Fortune 500 aerospace, defense, and consumer electronics.",https://www.quilter.ai/blog/series-b
Cyberwave,Robotics,Software & Simulation,Seed,7.7,,United Ventures,"The TechShop, Vento (Exor), Pi Campus",2025-10-08,Italy (Milan),4Q25,2025,"Digital twin marketplace enabling plug-and-play AI for robotic cells in manufacturing and logistics. Competes with Siemens (SIE GR) Xcelerator and Rockwell (ROK) Plex in factory digitalisation, but targets smaller integrators. €7M seed is above-median for European robotics software; United Ventures has a strong Italian deep-tech track record. Watch for partnerships with industrial robot OEMs (Fanuc 6954 JP, ABB ABBN SW) and expansion beyond Italy.",https://www.eu-startups.com/2025/10/milan-based-cyberwave-secures-e7-million-to-simplify-ai-driven-automation
Stoke Space,Space,Launch,Series D,510.0,,US Innovative Technology Fund (USIT),"776, Breakthrough Energy, Glade Brook Capital, Industrious Ventures, NFX, Sparta Group, Toyota Ventures, Woven Capital, SVB ($100M debt)",2025-10-08,"USA (Kent, WA)",4Q25,2025,"Fully reusable two-stage rocket developer targeting NSSL Phase 3 Lane 1 contracts. Competes directly with Rocket Lab (RKLB) and SpaceX for medium-lift. $510M Series D is among the largest private launch raises ever; round later extended to $860M in Feb-26, signalling exceptional investor conviction. USIT as lead is notable — US government-aligned capital for launch sovereignty. Watch for first Nova flight test and additional NSSL contract awards.",https://spacenews.com/stoke-space-raises-510-million/
HavocAI,Robotics,Autonomous Systems & Drones,Undisclosed,85.0,,"In-Q-Tel, B Capital","Lockheed Martin, Hanwha, Taiwania, Vanderbilt University, Up Partners",2025-10-10,USA,4Q25,2025,Builds autonomous surface vessels (ASVs) across four size classes (14–100 ft) for US Navy and DoD missions. Competes with L3Harris (LHX) and Textron (TXT) in unmanned maritime. $85M at undisclosed round stage is substantial for defence autonomy; In-Q-Tel backing signals IC interest. Watch for MUSV programme-of-record contracts and potential Anduril partnership.,https://fortune.com/2025/10/09/havocai-85-million-autonomous-vessels-funding/
Revolute Robotics,Robotics,Machine Vision & Sensors,Seed,1.9,,"ANIMO Ventures, Ascend",MassRobotics Accelerator ($100K),2025-10-10,"USA (Scottsdale, AZ)",4Q25,2025,Develops 3D vision systems for robotic welding and manufacturing inspection. Competes with Cognex (CGNX) and Keyence (6861 JP) in machine vision. $1.9M seed is modest but appropriate for early hardware-stage; dual lead from ANIMO and Ascend brings defence-adjacent network. Watch for integration partnerships with welding robot OEMs.,https://www.therobotreport.com/revolute-robotics-brings-in-1-9m-deploy-driving-flying-robots/
MAGICS Technologies,Semiconductors,Fabless Design,Series A,4.65,,PMV,"SC One, KU Leuven R&D, Gemma Frisius Fund, Invest for Jobs, SCK CEN",2025-10-13,Belgium (Leuven),4Q25,2025,"Designs ultra-low-power RISC-V processors with integrated MRAM for edge AI inference. Competes with Ambiq, Syntiant, and Renesas in edge MCU space; architectural overlap with ARM (ARM). €4.65M Series A is typical for Belgian deep-tech; PMV lead brings Flemish ecosystem ties to IMEC. Watch for design wins in wearables and IoT endpoints.",https://www.magics.tech/news/magics-capital-round
Caracol,Robotics,Industrial Robots,Series B,40.0,,"Omnes Capital, Move Capital Fund I","CDP Venture Capital, Primo Capital SGR, Eureka! Venture SGR, Neva SGR (Intesa Sanpaolo)",2025-10-14,Italy (Milan),4Q25,2025,Large-scale 3D printing (LFAM) for industrial components using robotic arms with proprietary extrusion. Competes with Relativity Space in additive manufacturing and traditional CNC incumbents. €40M Series B is significant for European robotics hardware; Omnes Capital brings infrastructure expertise. Watch for aerospace qualification milestones and partnerships with Airbus or Leonardo.,https://www.prnewswire.com/news-releases/caracol-raises-40m-series-b-302583195.html
Dexory,Robotics,Warehouse & Logistics Automation,Series C,165.0,,Eurazeo (Growth),"LTS Growth, Endeavor Catalyst, DTCP, Atomico, Lakestar, Elaia, Latitude Ventures, Wave-X; Bootstrap Europe ($65M debt)",2025-10-14,UK (London),4Q25,2025,Autonomous warehouse inventory tracking using shelf-scanning robots with real-time digital twin. Competes with Symbotic (SYM) and Zebra Technologies in warehouse intelligence. $165M Series C from Eurazeo is one of the largest European logistics-robotics raises in 2025. Watch for expansion into US market and integration with WMS platforms.,https://sifted.eu/articles/ai-robotics-startup-dexory-raises-165m
Lila Sciences,Robotics,Software & Simulation,Series A (extension),115.0,1300.0,NVentures (NVIDIA),"Dauntless Ventures, Catalio Capital, Pennant Investors, IQT, Analog Devices",2025-10-14,"USA (Cambridge, MA)",4Q25,2025,AI-driven scientific discovery platform combining foundation models with lab automation. NVentures (NVIDIA NVDA) leading the extension signals strategic alignment with NVIDIA's push into bio/chem compute. $115M extension on top of earlier Series A is a strong signal of traction. Watch for pharma partnerships and potential GPU-cluster integration announcements.,https://www.hpcwire.com/off-the-wire/lila-sciences-closes-350m-series-a-with-support-from-nvidias-nventures/
Vertical Semiconductor,Semiconductors,Power & Analog,Seed,11.0,,Playground Global,"JIMCO Technology Ventures, Milemark Capital, Shin-Etsu Chemical",2025-10-15,"USA (Boston, MA)",4Q25,2025,Designs vertical power semiconductor architectures for next-gen power conversion. Competes with Wolfspeed (WOLF) in SiC and ON Semiconductor (ON) in power management. $11M seed from Playground Global is above-median for power semi startups; validates novel vertical transistor approach. Watch for first silicon tapeout and automotive qualification path.,https://www.semiconductor-today.com/news_items/2025/oct/vertical-semiconductor-161025.shtml
Starship Technologies,Robotics,Warehouse & Logistics Automation,Series C,50.0,,Plural,"Karma.vc, Latitude, Coefficient Capital, SmartCap, Skaala",2025-10-15,Estonia (Tallinn),4Q25,2025,Autonomous sidewalk delivery robots operating in multiple US and European cities. Competes with Amazon (AMZN) Scout (discontinued) and Serve Robotics. $50M Series C led by Plural is solid for scaling fleet operations. Watch for regulatory approvals in new cities and unit economics milestones.,https://www.businesswire.com/news/home/20251015387447/en/Starship-Technologies-Raises-$50M-Series-C
CMR Surgical,Robotics,Surgical & Medical,Other,200,,Multiple,,2025-10-20,UK (Cambridge),4Q25,2025,Versius surgical robot challenging Intuitive Surgical (ISRG). FDA-cleared US market entry 2026.,https://cmrsurgical.com
Redwood Materials,Materials,Battery Materials,Series E,350,,Eclipse Ventures,,2025-10-23,"USA (Carson City, NV)",4Q25,2025,Ex-Tesla CTO battery recycling; expanding for AI data center boom; $6B valuation.,https://techcrunch.com
Augmentus,Robotics,Industrial Robots,Undisclosed,,,Applied Ventures (Applied Materials),,2025-10-27,Singapore,4Q25,2025,Robot programming platform enabling no-code deployment of industrial arms. Applied Ventures (Applied Materials AMAT) leading is a strong strategic signal — AMAT wants robotics in fab environments. Amount undisclosed but Applied's typical cheque size suggests $5–15M range. Watch for semiconductor fab deployment use cases.,https://www.prnewswire.com/news-releases/augmentus-secures-strategic-investment-from-applied-ventures-302593524.html
Substrate,Semiconductors,Equipment,Series A,100.0,1000.0,"Founders Fund, General Catalyst","Allen & Co., Long Journey Ventures, Valor Equity Partners, In-Q-Tel",2025-10-28,"USA (San Francisco, CA)",4Q25,2025,"Develops novel semiconductor manufacturing equipment for next-gen chip architectures. $100M Series A co-led by Founders Fund and General Catalyst is exceptionally large for equipment-stage startup, signalling high conviction in disruptive fab technology. Competes with ASML (ASML), Applied Materials (AMAT), and Lam Research (LRCX). Watch for first tool installation at a leading-edge foundry.",https://siliconangle.com/2025/10/28/substrate-raises-100m-impossible-reinvent-chipmaking-industry/
EnduroSat,Space,Satellite Communications,Series B,104.0,,"Riot Ventures, Google Ventures, Lux Capital","European Innovation Council Fund, Shrug Capital",2025-10-30,Bulgaria (Sofia),4Q25,2025,Bulgarian satellite platform provider offering modular smallsat buses and in-orbit services. Competes with York Space Systems and Terran Orbital (acquired by Lockheed). $104M Series B is record-setting for Bulgarian tech; Riot Ventures + GV + Lux Capital is a powerhouse syndicate. Watch for constellation deployment contracts and ESA partnerships.,https://spacenews.com/endurosat-raises-104-million-to-scale-production-of-larger-small-satellites/
Catalyx Space,Space,In-Orbit Services,Seed,5.4,,Outlander VC,"Arka Venture Labs, Together Fund, Higher Life Ventures, Nivesha Ventures, HF0 Residency, Techstars",2025-10-30,India (Ahmedabad),4Q25,2025,Space domain awareness startup providing orbital debris tracking and space sustainability services from India. Competes with LeoLabs and ExoAnalytic in SSA. $5.4M seed is solid for Indian space-tech; Outlander VC brings US market access. Watch for government SSA contracts and international expansion.,https://www.businesswire.com/news/home/20251030644759/en/Catalyx-Space-Secures-$5.4-Million-Seed-Round
mimic robotics,Robotics,Motion Control & Actuators,Seed,16.0,,"Elaia, Speedinvest","Founderful, 1st Kind, 10X Founders, 2100 Ventures, Sequoia Scout Fund",2025-11-03,Switzerland (Zurich),4Q25,2025,Humanoid manipulation platform using imitation learning to teach robotic arms dexterous tasks. Competes with Physical Intelligence and Covariant in learned manipulation. $16M seed co-led by Elaia and Speedinvest is strong for Swiss robotics; European AI talent pool is key advantage. Watch for first commercial deployments in manufacturing.,https://www.globenewswire.com/news-release/2025/11/03/3179052/0/en/mimic-robotics-raises-16-million.html
